"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","REM","EQD"
"03396199999","2023-07-16T09:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0180,1","+0154,1","10025,1","2,1,026,1,+999,9","SYN06603380 16094 99536 10001 46/// /24// 10180 20154 40025 52026 22200=",
"03396199999","2023-07-16T10:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0185,1","+0117,1","10036,1","2,1,028,1,+999,9","SYN06603380 16104 99536 10001 46/// /24// 10185 20117 40036 52028 22200=",
"03396199999","2023-07-16T11:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0187,1","+0113,1","10045,1","2,1,027,1,+999,9","SYN06603380 16114 99536 10001 46/// /24// 10187 20113 40045 52027 22200=",
"03396199999","2023-07-16T12:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0201,1","+0100,1","10048,1","1,1,023,1,+999,9","SYN06603380 16124 99536 10001 46/// /24// 10201 20100 40048 51023 22200=",
"03396199999","2023-07-16T13:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0210,1","+0094,1","10052,1","2,1,016,1,+999,9","SYN06603380 16134 99536 10001 46/// /24// 10210 20094 40052 52016 22200=",
"03396199999","2023-07-16T14:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0201,1","+0099,1","10059,1","3,1,014,1,+999,9","SYN06603380 16144 99536 10001 46/// /25// 10201 20099 40059 53014 22200=",
"03396199999","2023-07-16T15:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0186,1","+0153,1","10064,1","2,1,017,1,+999,9","SYN06603380 16154 99536 10001 46/// /23// 10186 20153 40064 52017 22200=",
"03396199999","2023-07-16T16:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0178,1","+9999,9","10070,1","2,1,018,1,+999,9","SYN06603380 16164 99536 10001 46/// /21// 10178 20179 40070 52018 22200=","Q0117.9  2ATOD  "
"03396199999","2023-07-16T17:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0154,1","+9999,9","10077,1","2,1,018,1,+999,9","SYN06603380 16174 99536 10001 46/// /23// 10154 20155 40077 52018 22200=","Q0115.5  2ATOD  "
"03396199999","2023-07-16T18:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0161,1","+0161,1","10080,1","1,1,015,1,+999,9","SYN06603380 16184 99536 10001 46/// /22// 10161 20161 40080 51015 22200=",
